"id","fuga","var_logins","var_uso_servicio","var_dias_ult_conexion"
"20","1","-14","0","-53"
"91","1","8","0","-3"
"99","1","0","0","31"
"113","1","-6","0","-7"
"125","1","-14","-6","19"
"128","1","0","-2","31"
"130","1","62","10","9"
"141","1","-4","0","-60"
"148","1","0","0","31"
"185","1","2","2","2"
"198","1","0","0","7"
"199","1","164","-6","0"
"206","1","18","0","-11"
"216","1","0","0","31"
"240","1","14","-14","-2"
"244","1","0","0","31"
"250","1","-10","2","1"
"263","1","0","0","31"
"270","1","-28","0","0"
"293","1","2","-4","-1"
"295","1","0","0","31"
"297","1","0","0","31"
"307","1","-54","-6","1"
"325","1","-12","-4","3"
"339","1","36","-2","0"
"402","1","34","0","11"
"411","1","-40","0","7"
"464","1","-6","0","-1"
"467","1","18","0","1"
"486","1","-12","-2","-1"
"500","1","0","0","31"
"506","1","6","0","4"
"517","1","-44","-2","-25"
"518","1","10","-2","0"
"526","1","0","0","31"
"531","1","-14","0","0"
"554","1","0","0","31"
"555","1","28","6","31"
"560","1","-4","0","-90"
"563","1","-14","4","6"
"569","1","-4","0","7"
"573","1","0","0","31"
"591","1","-8","0","-33"
"645","1","-2","0","14"
"646","1","4","0","30"
"684","1","0","0","31"
"724","1","6","0","13"
"739","1","0","0","31"
"784","1","0","0","-10"
"798","1","108","8","3"
"805","1","-8","0","-53"
"814","1","66","0","3"
"821","1","-46","0","2"
"833","1","-24","0","0"
"886","1","-36","0","-47"
"926","1","0","0","31"
"966","1","12","0","-45"
"986","1","-2","0","-1"
"991","1","4","0","31"
"1030","1","0","0","30"
"1043","1","0","0","31"
"1052","1","-100","-2","0"
"1093","1","0","0","31"
"1115","1","-2","-12","-1"
"1119","1","-30","0","9"
"1138","1","-16","0","-8"
"1170","1","-100","0","4"
"1185","1","4","0","31"
"1262","1","-12","0","-7"
"1324","1","-8","0","0"
"1355","1","4","0","31"
"1361","1","0","0","31"
"1365","1","-20","0","-2"
"1372","1","-20","-6","-1"
"1413","1","10","0","15"
"1441","1","12","0","3"
"1471","1","-50","2","0"
"1555","1","26","2","11"
"1675","1","2","-4","24"
"1932","1","0","0","0"
"1985","1","0","0","0"
